"","fn","ov_db","ov_dc","ov_de","threshold"
"123","1/as19991115.txt",0.785714285714286,0.571428571428571,0.571428571428571,0.009
"124","1/as19991115.txt",0.777777777777778,0.53968253968254,0.53968253968254,0.01
"125","1/as19991115.txt",0.888,0.472,0.424,0.02
"126","1/as19991115.txt",0.834224598930481,0.443850267379679,0.438502673796791,0.03
"127","1/as19991115.txt",0.823293172690763,0.405622489959839,0.393574297188755,0.04
"128","1/as19991115.txt",0.839228295819936,0.363344051446945,0.385852090032154,0.05
"129","1/as19991115.txt",0.815013404825737,0.335120643431635,0.372654155495979,0.06
"130","1/as19991115.txt",0.770114942528736,0.354022988505747,0.358620689655172,0.07
"131","1/as19991115.txt",0.782696177062374,0.352112676056338,0.362173038229376,0.08
"132","1/as19991115.txt",0.76386404293381,0.348837209302326,0.354203935599284,0.09
"133","1/as19991115.txt",0.753623188405797,0.351046698872786,0.35426731078905,0.1
"134","1/as19991116.txt",0.857142857142857,0.714285714285714,1,0.001
"135","1/as19991116.txt",0.769230769230769,0.769230769230769,0.769230769230769,0.002
"136","1/as19991116.txt",0.842105263157895,0.736842105263158,0.578947368421053,0.003
"137","1/as19991116.txt",0.92,0.68,0.44,0.004
"138","1/as19991116.txt",0.8125,0.625,0.375,0.005
"139","1/as19991116.txt",0.789473684210526,0.631578947368421,0.315789473684211,0.006
"140","1/as19991116.txt",0.795454545454545,0.568181818181818,0.318181818181818,0.007
"141","1/as19991116.txt",0.8,0.6,0.28,0.008
"142","1/as19991116.txt",0.785714285714286,0.571428571428571,0.267857142857143,0.009
"143","1/as19991116.txt",0.777777777777778,0.53968253968254,0.238095238095238,0.01
"144","1/as19991116.txt",0.872,0.48,0.184,0.02
"145","1/as19991116.txt",0.844919786096257,0.438502673796791,0.171122994652406,0.03
"146","1/as19991116.txt",0.827309236947791,0.401606425702811,0.168674698795181,0.04
"147","1/as19991116.txt",0.826366559485531,0.356913183279743,0.163987138263666,0.05
"148","1/as19991116.txt",0.81769436997319,0.340482573726542,0.163538873994638,0.06
"149","1/as19991116.txt",0.774712643678161,0.363218390804598,0.170114942528736,0.07
"150","1/as19991116.txt",0.779116465863454,0.355421686746988,0.168674698795181,0.08
"151","1/as19991116.txt",0.755357142857143,0.351785714285714,0.167857142857143,0.09
"152","1/as19991116.txt",0.739549839228296,0.352090032154341,0.162379421221865,0.1
"153","1/as19991118.txt",0.857142857142857,0.714285714285714,0.857142857142857,0.001
"154","1/as19991118.txt",0.769230769230769,0.769230769230769,0.846153846153846,0.002
"155","1/as19991118.txt",0.789473684210526,0.736842105263158,0.842105263157895,0.003
"156","1/as19991118.txt",0.88,0.68,0.72,0.004
"157","1/as19991118.txt",0.8125,0.625,0.6875,0.005
"158","1/as19991118.txt",0.789473684210526,0.631578947368421,0.657894736842105,0.006
"159","1/as19991118.txt",0.818181818181818,0.590909090909091,0.636363636363636,0.007
"160","1/as19991118.txt",0.82,0.6,0.6,0.008
"161","1/as19991118.txt",0.771929824561403,0.56140350877193,0.596491228070175,0.009
"162","1/as19991118.txt",0.777777777777778,0.53968253968254,0.555555555555556,0.01
"163","1/as19991118.txt",0.888,0.464,0.44,0.02
"164","1/as19991118.txt",0.834224598930481,0.438502673796791,0.433155080213904,0.03
"165","1/as19991118.txt",0.832,0.408,0.392,0.04
"166","1/as19991118.txt",0.82051282051282,0.362179487179487,0.375,0.05
"167","1/as19991118.txt",0.802139037433155,0.347593582887701,0.366310160427808,0.06
"168","1/as19991118.txt",0.775743707093821,0.37070938215103,0.366132723112128,0.07
"169","1/as19991118.txt",0.775551102204409,0.352705410821643,0.362725450901804,0.08
"170","1/as19991118.txt",0.762923351158645,0.35650623885918,0.361853832442068,0.09
"171","1/as19991118.txt",0.738782051282051,0.349358974358974,0.357371794871795,0.1
"172","1/as19991204.txt",0.857142857142857,0.714285714285714,0.857142857142857,0.001
"173","1/as19991204.txt",0.692307692307692,0.769230769230769,0.846153846153846,0.002
"174","1/as19991204.txt",0.894736842105263,0.789473684210526,0.789473684210526,0.003
"175","1/as19991204.txt",0.846153846153846,0.730769230769231,0.730769230769231,0.004
"176","1/as19991204.txt",0.8125,0.625,0.65625,0.005
"177","1/as19991204.txt",0.789473684210526,0.552631578947368,0.605263157894737,0.006
"178","1/as19991204.txt",0.822222222222222,0.533333333333333,0.555555555555556,0.007
"179","1/as19991204.txt",0.784313725490196,0.549019607843137,0.549019607843137,0.008
"180","1/as19991204.txt",0.807017543859649,0.526315789473684,0.526315789473684,0.009
"181","1/as19991204.txt",0.777777777777778,0.53968253968254,0.555555555555556,0.01
"182","1/as19991204.txt",0.857142857142857,0.476190476190476,0.452380952380952,0.02
"183","1/as19991204.txt",0.841269841269841,0.412698412698413,0.407407407407407,0.03
"184","1/as19991204.txt",0.833333333333333,0.384920634920635,0.369047619047619,0.04
"185","1/as19991204.txt",0.806349206349206,0.352380952380952,0.368253968253968,0.05
"186","1/as19991204.txt",0.798941798941799,0.338624338624339,0.354497354497354,0.06
"187","1/as19991204.txt",0.782312925170068,0.353741496598639,0.349206349206349,0.07
"188","1/as19991204.txt",0.76984126984127,0.341269841269841,0.341269841269841,0.08
"189","1/as19991204.txt",0.763668430335097,0.352733686067019,0.35978835978836,0.09
"190","1/as19991204.txt",0.757142857142857,0.346031746031746,0.357142857142857,0.1
"191","1/as19991205.txt",0.857142857142857,0.714285714285714,1,0.001
"192","1/as19991205.txt",0.692307692307692,0.692307692307692,0.692307692307692,0.002
"193","1/as19991205.txt",0.894736842105263,0.789473684210526,0.526315789473684,0.003
"194","1/as19991205.txt",0.807692307692308,0.692307692307692,0.423076923076923,0.004
"195","1/as19991205.txt",0.8125,0.59375,0.34375,0.005
"196","1/as19991205.txt",0.815789473684211,0.552631578947368,0.342105263157895,0.006
"197","1/as19991205.txt",0.8,0.533333333333333,0.288888888888889,0.007
"198","1/as19991205.txt",0.784313725490196,0.549019607843137,0.274509803921569,0.008
"199","1/as19991205.txt",0.789473684210526,0.526315789473684,0.263157894736842,0.009
"200","1/as19991205.txt",0.793650793650794,0.523809523809524,0.238095238095238,0.01
"201","1/as19991205.txt",0.880952380952381,0.476190476190476,0.198412698412698,0.02
"202","1/as19991205.txt",0.841269841269841,0.412698412698413,0.19047619047619,0.03
"203","1/as19991205.txt",0.829365079365079,0.392857142857143,0.178571428571429,0.04
"204","1/as19991205.txt",0.80952380952381,0.355555555555556,0.171428571428571,0.05
"205","1/as19991205.txt",0.801587301587302,0.341269841269841,0.182539682539683,0.06
"206","1/as19991205.txt",0.780045351473923,0.356009070294785,0.1859410430839,0.07
"207","1/as19991205.txt",0.775793650793651,0.343253968253968,0.188492063492063,0.08
"208","1/as19991205.txt",0.770723104056437,0.352733686067019,0.19047619047619,0.09
"209","1/as19991205.txt",0.761526232114467,0.348171701112878,0.186009538950715,0.1
"210","1/as19991206.txt",0.857142857142857,0.714285714285714,1,0.001
"211","1/as19991206.txt",0.692307692307692,0.692307692307692,0.692307692307692,0.002
"212","1/as19991206.txt",0.894736842105263,0.789473684210526,0.526315789473684,0.003
"213","1/as19991206.txt",0.846153846153846,0.730769230769231,0.423076923076923,0.004
"214","1/as19991206.txt",0.8125,0.625,0.34375,0.005
"215","1/as19991206.txt",0.815789473684211,0.552631578947368,0.342105263157895,0.006
"216","1/as19991206.txt",0.8,0.555555555555556,0.288888888888889,0.007
"217","1/as19991206.txt",0.784313725490196,0.549019607843137,0.274509803921569,0.008
"218","1/as19991206.txt",0.789473684210526,0.526315789473684,0.263157894736842,0.009
"219","1/as19991206.txt",0.796875,0.53125,0.234375,0.01
"220","1/as19991206.txt",0.866141732283465,0.47244094488189,0.188976377952756,0.02
"221","1/as19991206.txt",0.842105263157895,0.410526315789474,0.178947368421053,0.03
"222","1/as19991206.txt",0.826086956521739,0.391304347826087,0.177865612648221,0.04
"223","1/as19991206.txt",0.810126582278481,0.357594936708861,0.174050632911392,0.05
"224","1/as19991206.txt",0.810026385224274,0.329815303430079,0.184696569920844,0.06
"225","1/as19991206.txt",0.791855203619909,0.355203619909502,0.187782805429864,0.07
"226","1/as19991206.txt",0.774257425742574,0.342574257425743,0.19009900990099,0.08
"227","1/as19991206.txt",0.767605633802817,0.355633802816901,0.190140845070423,0.09
"228","1/as19991206.txt",0.768621236133122,0.351822503961965,0.187004754358162,0.1
"229","1/as20000102.txt",0.857142857142857,0.714285714285714,1,0.001
"230","1/as20000102.txt",0.692307692307692,0.615384615384615,0.615384615384615,0.002
"231","1/as20000102.txt",0.85,0.8,0.5,0.003
"232","1/as20000102.txt",0.884615384615385,0.730769230769231,0.423076923076923,0.004
"233","1/as20000102.txt",0.818181818181818,0.636363636363636,0.333333333333333,0.005
"234","1/as20000102.txt",0.794871794871795,0.564102564102564,0.333333333333333,0.006
"235","1/as20000102.txt",0.782608695652174,0.521739130434783,0.282608695652174,0.007
"236","1/as20000102.txt",0.769230769230769,0.519230769230769,0.269230769230769,0.008
"237","1/as20000102.txt",0.76271186440678,0.508474576271186,0.254237288135593,0.009
